"%s items queued for embedding.","%s items queued for embedding."
"Action","Action"
"AI","AI"
"AI: could not refresh models for %s. See exception.log.","AI: could not refresh models for %s. See exception.log."
"AI: refreshed %d models for %s.","AI: refreshed %d models for %s."
"AI Configuration","AI Configuration"
"AI Task #%s","AI Task #%s"
"AI Task History","AI Task History"
"AI Usage","AI Usage"
"already queued","already queued"
"Async Queue","Async Queue"
"Auto-embed Categories","Auto-embed Categories"
"Auto-embed Products","Auto-embed Products"
"Back","Back"
"Background","Background"
"Blocked Input Patterns","Blocked Input Patterns"
"Calls","Calls"
"Cancelled","Cancelled"
"Categories (%s active)","Categories (%s active)"
"Complete","Complete"
"Completed","Completed"
"Completion","Completion"
"Consumer","Consumer"
"Context","Context"
"Current Configuration","Current Configuration"
"Default AI Provider","Default AI Provider"
"Default Placeholder Height","Default Placeholder Height"
"Default Placeholder Width","Default Placeholder Width"
"Disabled","Disabled"
"e.g. http://localhost:11434","e.g. http://localhost:11434"
"e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash","e.g. openai/gpt-4o, anthropic/claude-sonnet-4-6, google/gemini-2.0-flash"
"Embedding","Embedding"
"Embeddings","Embeddings"
"Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing.","Embeddings are disabled. Enable them under System &gt; AI &gt; Embed Settings before queuing."
"Embed Provider","Embed Provider"
"Embed Status","Embed Status"
"Enable Async Queue","Enable Async Queue"
"Enabled","Enabled"
"Enable Embeddings","Enable Embeddings"
"Enable Image Generation","Enable Image Generation"
"Error","Error"
"Error: ","Error: "
"Estimated completion: ~%d hours %d minutes.","Estimated completion: ~%d hours %d minutes."
"Estimated completion: ~%d minutes.","Estimated completion: ~%d minutes."
"Failed","Failed"
"Failed to fetch models. See exception.log for details.","Failed to fetch models. See exception.log for details."
"Fetching...","Fetching..."
"Flag responses containing email addresses, phone numbers, or SSNs.","Flag responses containing email addresses, phone numbers, or SSNs."
"Google Embed Model","Google Embed Model"
"ID","ID"
"Image","Image"
"Image Generation","Image Generation"
"Image Provider","Image Provider"
"Input Tokens","Input Tokens"
"Interactive","Interactive"
"In Tokens","In Tokens"
"Log Requests","Log Requests"
"Max seconds a task can run before being marked as failed.","Max seconds a task can run before being marked as failed."
"Max Tasks Per Cron Run","Max Tasks Per Cron Run"
"Messages","Messages"
"Mistral Embed Model","Mistral Embed Model"
"Model","Model"
"Must be installed locally via `ollama pull`.","Must be installed locally via `ollama pull`."
"No items were queued. Make sure products/categories have text content.","No items were queued. Make sure products/categories have text content."
"Ollama Embed Model","Ollama Embed Model"
"One regex per line. Matching inputs will be rejected.","One regex per line. Matching inputs will be rejected."
"OpenAI-compatible endpoint, e.g. https://api.example.com/v1","OpenAI-compatible endpoint, e.g. https://api.example.com/v1"
"OpenAI Embed Model","OpenAI Embed Model"
"OpenAI Image Model","OpenAI Image Model"
"Output Tokens","Output Tokens"
"Out Tokens","Out Tokens"
"Pending","Pending"
"Pending Embed Tasks","Pending Embed Tasks"
"PII Detection","PII Detection"
"Placeholder URL Pattern","Placeholder URL Pattern"
"Platform","Platform"
"Platform / Model","Platform / Model"
"Priority","Priority"
"Processing","Processing"
"Products (%s enabled)","Products (%s enabled)"
"Prompt Injection Detection","Prompt Injection Detection"
"Queue","Queue"
"Queue an embedding task whenever a category is saved.","Queue an embedding task whenever a category is saved."
"Queue an embedding task whenever a product is saved.","Queue an embedding task whenever a product is saved."
"Queue Cron Schedule","Queue Cron Schedule"
"Queued","Queued"
"Queue for Embedding","Queue for Embedding"
"Queue Status","Queue Status"
"Refresh Models","Refresh Models"
"Response","Response"
"Retries","Retries"
"Return a placeholder image URL when image generation is disabled or fails.","Return a placeholder image URL when image generation is disabled or fails."
"Safety & Guardrails","Safety & Guardrails"
"Sanitize HTML Output","Sanitize HTML Output"
"Scan user inputs for prompt injection attempts before sending to AI.","Scan user inputs for prompt injection attempts before sending to AI."
"Status","Status"
"Store ID","Store ID"
"Strip dangerous tags/attributes from AI responses used as HTML.","Strip dangerous tags/attributes from AI responses used as HTML."
"Target Dimensions","Target Dimensions"
"Task #%s","Task #%s"
"Task Details","Task Details"
"Task History","Task History"
"Task not found.","Task not found."
"Task Timeout (seconds)","Task Timeout (seconds)"
"The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed.","The async queue is disabled. Enable it under System &gt; AI &gt; Queue Settings or tasks will never be processed."
"This queues %s products and %s categories (%s tasks total) for background processing.","This queues %s products and %s categories (%s tasks total) for background processing."
"This will queue all selected items for embedding. Continue?","This will queue all selected items for embedding. Continue?"
"Type","Type"
"Usage","Usage"
"Use Placeholder Fallback","Use Placeholder Fallback"
"Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}","Use {w} and {h} tokens for width/height. e.g. https://placehold.co/{w}x{h} or https://picsum.photos/{w}/{h}"
"Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval.","Vector size. 0 = model default. OpenAI and Google support native truncation; others are truncated after retrieval."
"Vector with %d dimensions","Vector with %d dimensions"
"View","View"
"Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks.","Warning: %d embedding tasks are already pending. Running this again will add duplicate tasks."
"— save the API key to load available models —","— save the API key to load available models —"
