"%s (Default Template from Locale)","%s (Default Template from Locale)"
"%s cache type(s) disabled.","%s cache type(s) disabled."
"%s cache type(s) enabled.","%s cache type(s) enabled."
"%s cache type(s) refreshed.","%s cache type(s) refreshed."
"(%s/%s/%s)","(%s/%s/%s)"
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(If left empty will be auto-generated)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Starting with)","(Starting with)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t for tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - If indexing is in progress, it will be killed and new indexing process will start."
"* Required Fields","* Required Fields"
"-- Not Selected --","-- Not Selected --"
"-- Please Select --","-- Please Select --"
"-- Please select --","-- Please select --"
"--Please Select--","--Please Select--"
"-- Please Select a Category --","-- Please Select a Category --"
"-- Please Select Billing Agreement--","-- Please Select Billing Agreement--"
"1 Hour","1 Hour"
"2 Hours","2 Hours"
"2FA verification code:","2FA verification code:"
"2FA verification code is invalid.","2FA verification code is invalid."
"2YTD","2YTD"
"6 Hours","6 Hours"
"12 Hours","12 Hours"
"12h AM/PM","12h AM/PM"
"24 Hours","24 Hours"
"24h","24h"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> requests access to your account"
"Abandoned Carts","Abandoned Carts"
"Access Denied","Access Denied"
"Access denied","Access denied"
"Access denied.","Access denied."
"Account Created in:","Account Created in:"
"Account Created on (%s):","Account Created on (%s):"
"Account Created on:","Account Created on:"
"Account Information","Account Information"
"Account Status","Account Status"
"Account status","Account status"
"Action","Action"
"Actions","Actions"
"Actions XML","Actions XML"
"Active","Active"
"Add","Add"
"Add after","Add after"
"Add Exception","Add Exception"
"Add Field Mapping","Add Field Mapping"
"Add Field with URL:","Add Field with URL:"
"Additional Cache Management","Additional Cache Management"
"Add New","Add New"
"Add New Block","Add New Block"
"Add New Image","Add New Image"
"Add New Profile","Add New Profile"
"Add New Role","Add New Role"
"Add New Template","Add New Template"
"Add New URL Rewrite","Add New URL Rewrite"
"Add New User","Add New User"
"Add New Variable","Add New Variable"
"Add new variable","Add new variable"
"Add Products","Add Products"
"Address Type:","Address Type:"
"Add URL Rewrite","Add URL Rewrite"
"Add URL Rewrite for a Category","Add URL Rewrite for a Category"
"Add URL Rewrite for a Product","Add URL Rewrite for a Product"
"Admin","Admin"
"Advanced Profiles","Advanced Profiles"
"After authorization application will have access to you account.","After authorization application will have access to you account."
"Alert","Alert"
"All","All"
"All Allowed Countries","All Allowed Countries"
"All Cache","All Cache"
"All countries","All countries"
"All fields","All fields"
"Allowed","Allowed"
"All possible rates were fetched, please click on ""Save"" to apply","All possible rates were fetched, please click on ""Save"" to apply"
"All rates were fetched, please click on ""Save"" to apply","All rates were fetched, please click on ""Save"" to apply"
"All Reviews","All Reviews"
"All Store Views","All Store Views"
"All Tags","All Tags"
"All valid rates have been saved.","All valid rates have been saved."
