"%d country(s) were skipped because they no longer exist.","%d country(s) were skipped because they no longer exist."
"%d region(s) were skipped because they have existing region names.","%d region(s) were skipped because they have existing region names."
"-- Please select --","-- Please select --"
"A country with this ID already exists.","A country with this ID already exists."
"Add New Country","Add New Country"
"Add New Region","Add New Region"
"Add Translation","Add Translation"
"Allowed Currencies","Allowed Currencies"
"An invalid base currency has been entered.","An invalid base currency has been entered."
"API Access Key","API Access Key"
"API Key","API Key"
"A region name for this locale and region combination already exists.","A region name for this locale and region combination already exists."
"A region with code ""%s"" already exists in this country.","A region with code ""%s"" already exists in this country."
"Are you sure you want to delete the selected countries?","Are you sure you want to delete the selected countries?"
"Are you sure you want to delete the selected region names?","Are you sure you want to delete the selected region names?"
"Are you sure you want to delete the selected regions?","Are you sure you want to delete the selected regions?"
"Are you sure you want to delete this country?","Are you sure you want to delete this country?"
"Are you sure you want to delete this region?","Are you sure you want to delete this region?"
"Base Currency","Base Currency"
"Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").","Base currency is used for all online payment transactions. Scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"")."
"Cannot delete region with existing region names. Please delete all region names first.","Cannot delete region with existing region names. Please delete all region names first."
"Close","Close"
"Connection Timeout in Seconds","Connection Timeout in Seconds"
"Continue &raquo;","Continue &raquo;"
"Countries","Countries"
"Country","Country"
"Country and Format Type combination should be unique","Country and Format Type combination should be unique"
"Country API","Country API"
"Country ID","Country ID"
"Country ID cannot be changed after creation","Country ID cannot be changed after creation"
"Country ID is required.","Country ID is required."
"Country ID must be exactly 2 uppercase letters.","Country ID must be exactly 2 uppercase letters."
"Country Information","Country Information"
"Country is required.","Country is required."
"Country Name","Country Name"
"Currency","Currency"
"CurrencyConverterAPI","CurrencyConverterAPI"
"Currency Options","Currency Options"
"Currency rates can't be retrieved.","Currency rates can't be retrieved."
"Currency rate service error: %s","Currency rate service error: %s"
"Currency Setup","Currency Setup"
"Currency Update Warnings","Currency Update Warnings"
"Default: only add new locales","Default: only add new locales"
"Default Display Currency","Default Display Currency"
"Default Name","Default Name"
"Default name cannot be longer than 255 characters.","Default name cannot be longer than 255 characters."
"Default name for this region in English","Default name for this region in English"
"Default name is required.","Default name is required."
"Delete Country","Delete Country"
"Delete Region","Delete Region"
"Directory","Directory"
"Directory Management","Directory Management"
"Display not required State","Display not required State"
"Edit Country","Edit Country"
"Edit Country ""%s""","Edit Country ""%s"""
"Edit Region","Edit Region"
"Edit Region ""%s""","Edit Region ""%s"""
"Enabled","Enabled"
"Error:","Error:"
"Error Email Recipient","Error Email Recipient"
"Error Email Sender","Error Email Sender"
"Error Email Template","Error Email Template"
"FATAL ERROR:","FATAL ERROR:"
"Frequency","Frequency"
"Hold Ctrl/Cmd to select multiple countries","Hold Ctrl/Cmd to select multiple countries"
"Hold Ctrl/Cmd to select multiple locales","Hold Ctrl/Cmd to select multiple locales"
"Import","Import"
"Import completed successfully.","Import completed successfully."
"Import Regions","Import Regions"
"Import Results","Import Results"
"Installed Currencies","Installed Currencies"
"Invalid country code: %s","Invalid country code: %s"
"Invalid Import Service specified.","Invalid Import Service specified."
"Invalid rates received","Invalid rates received"
"Invalid target currency.","Invalid target currency."
"ISO2 Code","ISO2 Code"
"ISO2 code is required.","ISO2 code is required."
"ISO2 code must be exactly 2 uppercase letters.","ISO2 code must be exactly 2 uppercase letters."
"ISO3 Code","ISO3 Code"
"ISO3 code is required.","ISO3 code is required."
"ISO3 code must be exactly 3 uppercase letters.","ISO3 code must be exactly 3 uppercase letters."
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Locale and region name are required.","Locale and region name are required."
"Locale is required.","Locale is required."
"Locales","Locales"
"Localized Name","Localized Name"
"Localized name for this region","Localized name for this region"
"Manage Countries","Manage Countries"
"Manage Directory","Manage Directory"
"Manage Regions","Manage Regions"
"Manage Translations","Manage Translations"
"New Country","New Country"
"New Region","New Region"
"No API Key was specified or an invalid API Key was specified.","No API Key was specified or an invalid API Key was specified."
"One or more invalid symbols have been specified.","One or more invalid symbols have been specified."
"Please select at least one country.","Please select at least one country."
"Please select at least one locale.","Please select at least one locale."
"Please select country(s).","Please select country(s)."
"Please select region(s).","Please select region(s)."
"Please select region name(s).","Please select region name(s)."
"Popular","Popular"
"Postal Code is Optional for the following countries","Postal Code is Optional for the following countries"
"Preview changes without importing (Dry Run)","Preview changes without importing (Dry Run)"
"Region","Region"
"Region API","Region API"
"Region Code","Region Code"
"Region code cannot be longer than 32 characters.","Region code cannot be longer than 32 characters."
"Region ID","Region ID"
"Region Information","Region Information"
"Region name cannot be longer than 255 characters.","Region name cannot be longer than 255 characters."
"Region name is required.","Region name is required."
"Regions","Regions"
"Running...","Running..."
"Running import...","Running import..."
"Save Country","Save Country"
"Save Region","Save Region"
"Scheduled Import Settings","Scheduled Import Settings"
"Selected country does not exist.","Selected country does not exist."
"Service","Service"
"Short code for this region (e.g. CA, NY, TX)","Short code for this region (e.g. CA, NY, TX)"
"Shows what would be imported without making actual changes","Shows what would be imported without making actual changes"
"Start Time","Start Time"
"State/Province","State/Province"
"State is required for","State is required for"
"States Options","States Options"
"System","System"
"The ""%s"" is not allowed as base currency for your subscription plan.","The ""%s"" is not allowed as base currency for your subscription plan."
"The account this API request is coming from is inactive.","The account this API request is coming from is inactive."
"The country has been deleted.","The country has been deleted."
"The country has been saved.","The country has been saved."
"The current request did not return any results.","The current request did not return any results."
"The maximum allowed API amount of monthly API requests has been reached.","The maximum allowed API amount of monthly API requests has been reached."
"The region has been deleted.","The region has been deleted."
"The region has been saved.","The region has been saved."
"This country no longer exists.","This country no longer exists."
"This region no longer exists.","This region no longer exists."
"Three character ISO code (e.g. USA, GBR, DEU)","Three character ISO code (e.g. USA, GBR, DEU)"
"Top Countries","Top Countries"
"Two character country code (e.g. US, GB, DE)","Two character country code (e.g. US, GB, DE)"
"Two character ISO code (usually same as Country ID)","Two character ISO code (usually same as Country ID)"
"Unable to calculate rate for %s to %s.","Unable to calculate rate for %s to %s."
"Unable to initialize the import model.","Unable to initialize the import model."
