"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","%d Catalog Price Rules based on ""%s"" attribute have been disabled."
"-- All Active Rules --","-- All Active Rules --"
"86400 by default, if not set. Rule prices change with the daily catalog rule reindex.","86400 by default, if not set. Rule prices change with the daily catalog rule reindex."
"Actions","Actions"
"Active","Active"
"Add New Rule","Add New Rule"
"An error occurred while deleting the rule. Please review the log and try again.","An error occurred while deleting the rule. Please review the log and try again."
"An error occurred while saving the rule data. Please review the log and try again.","An error occurred while saving the rule data. Please review the log and try again."
"Apply","Apply"
"Apply Rules","Apply Rules"
"Attribute Set","Attribute Set"
"Best Selling","Best Selling"
"Biggest Discount","Biggest Discount"
"By Fixed Amount","By Fixed Amount"
"By Percentage of the Original Price","By Percentage of the Original Price"
"Catalog","Catalog"
"Catalog On Sale Products","Catalog On Sale Products"
"Catalog Price Rule","Catalog Price Rule"
"Catalog Price Rules","Catalog Price Rules"
"Category","Category"
"Conditions","Conditions"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Customer Groups","Customer Groups"
"Date Expire","Date Expire"
"Date From","Date From"
"Date Start","Date Start"
"Date To","Date To"
"Description","Description"
"Discount Amount","Discount Amount"
"Edit Rule","Edit Rule"
"Edit Rule '%s'","Edit Rule '%s'"
"Enable Discount to Subproducts","Enable Discount to Subproducts"
"Expiration Date","Expiration Date"
"From Date","From Date"
"General Information","General Information"
"ID","ID"
"Inactive","Inactive"
"List of Products with an active Catalog Price Rule discount","List of Products with an active Catalog Price Rule discount"
"Newest","Newest"
"New Rule","New Rule"
"No","No"
"Only In-Stock Products","Only In-Stock Products"
"On Sale","On Sale"
"On Sale Images and Names Template","On Sale Images and Names Template"
"On Sale Images Only Template","On Sale Images Only Template"
"On Sale Names Only Template","On Sale Names Only Template"
"On Sale Products Grid Template","On Sale Products Grid Template"
"On Sale Products List Template","On Sale Products List Template"
"Options","Options"
"Order Products By","Order Products By"
"Priority","Priority"
"Product Attribute","Product Attribute"
"Promotions","Promotions"
"Random","Random"
"Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules.","Restrict to a single rule (e.g. ""Offer of the month""). Leave empty for all active rules."
"Rule Information","Rule Information"
"Rule Name","Rule Name"
"Save and Apply","Save and Apply"
"Save and Continue Edit","Save and Continue Edit"
"Start Date","Start Date"
"Status","Status"
"Stop Further Rules Processing","Stop Further Rules Processing"
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog."
"The rule has been deleted.","The rule has been deleted."
"The rule has been saved.","The rule has been saved."
"The rules have been applied.","The rules have been applied."
"This rule no longer exists.","This rule no longer exists."
"To Date","To Date"
"To Fixed Amount","To Fixed Amount"
"To Percentage of the Original Price","To Percentage of the Original Price"
"Type","Type"
"Unable to apply rules.","Unable to apply rules."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update Prices Using the Following Information","Update Prices Using the Following Information"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Website","Website"
"Websites","Websites"
"Wrong rule specified","Wrong rule specified"
"Wrong rule specified.","Wrong rule specified."
"Yes","Yes"
