"%s role is a special one and can't be changed.","%s role is a special one and can't be changed."
"%s role is a special one and can't be deleted.","%s role is a special one and can't be deleted."
"%s role is protected.","%s role is protected."
"ACL Attribute Rules","ACL Attribute Rules"
"ACL Attributes Information","ACL Attributes Information"
"Add","Add"
"Add Admin Role","Add Admin Role"
"Add New Role","Add New Role"
"Address Type","Address Type"
"Admin","Admin"
"Allow","Allow"
"An error occurred while deleting the role.","An error occurred while deleting the role."
"An error occurred while saving attribute rules.","An error occurred while saving attribute rules."
"An error occurred while saving role.","An error occurred while saving role."
"Api Rules Information","Api Rules Information"
"Assigned","Assigned"
"Associate to Website","Associate to Website"
"Attribute Rules Information","Attribute Rules Information"
"Attributes","Attributes"
"Attribute Set","Attribute Set"
"Automatically Return Credit Memo Item to Stock","Automatically Return Credit Memo Item to Stock"
"Back","Back"
"Backorders","Backorders"
"Base Currency","Base Currency"
"Base Customer Balance","Base Customer Balance"
"Base Discount","Base Discount"
"Base Discount Amount","Base Discount Amount"
"Base Item Subtotal","Base Item Subtotal"
"Base Item Subtotal Including Tax","Base Item Subtotal Including Tax"
"Base Original Price","Base Original Price"
"Base Price","Base Price"
"Base Price Including Tax","Base Price Including Tax"
"Base Shipping","Base Shipping"
"Base Shipping Discount","Base Shipping Discount"
"Base Shipping Tax","Base Shipping Tax"
"Base Subtotal","Base Subtotal"
"Base Subtotal Including Tax","Base Subtotal Including Tax"
"Base Tax Amount","Base Tax Amount"
"Base Total Due","Base Total Due"
"Base Total Paid","Base Total Paid"
"Base Total Refunded","Base Total Refunded"
"Buy Now URL","Buy Now URL"
"Can Be Divided into Multiple Boxes for Shipping","Can Be Divided into Multiple Boxes for Shipping"
"Canceled Qty","Canceled Qty"
"Catalog","Catalog"
"CatalogInventory","CatalogInventory"
"Catalog Product","Catalog Product"
"Category ID","Category ID"
"City","City"
"Company","Company"
"Country","Country"
"Coupon Code","Coupon Code"
"Create","Create"
"Created From","Created From"
"Create Permanent Redirect for old URL","Create Permanent Redirect for old URL"
"Customer","Customer"
"Customer Address","Customer Address"
"Customer Address ID","Customer Address ID"
"Customer Balance","Customer Balance"
"Customer First Name","Customer First Name"
"Customer ID","Customer ID"
"Customer Last Name","Customer Last Name"
"Customer Middle Name","Customer Middle Name"
"Customer Prefix","Customer Prefix"
"Customer Suffix","Customer Suffix"
"Default Image","Default Image"
"Delete","Delete"
"Deny","Deny"
"Disable automatic group change based on VAT ID","Disable automatic group change based on VAT ID"
"Discount","Discount"
"Discount Amount","Discount Amount"
"Discount Description","Discount Description"
"Edit","Edit"
"Edit %s ACL attribute rules","Edit %s ACL attribute rules"
"Edit attribute rules for %s Role","Edit attribute rules for %s Role"
"Edit Role","Edit Role"
"Email","Email"
"Enable Qty Increments","Enable Qty Increments"
"Exclude","Exclude"
"File Content","File Content"
"File MIME Type","File MIME Type"
"File Name","File Name"
"Final Price Without Tax","Final Price Without Tax"
"Final Price With Tax","Final Price With Tax"
"First Name","First Name"
"Gift Message","Gift Message"
"Grand Total","Grand Total"
"Grand Total to Be Charged","Grand Total to Be Charged"
"Group","Group"
"Guest","Guest"
"Has Custom Options","Has Custom Options"
"ID","ID"
"Inventory Data","Inventory Data"
"Invoiced Qty","Invoiced Qty"
"Is Confirmed","Is Confirmed"
"Is Default Billing Address","Is Default Billing Address"
"Is Default Shipping Address","Is Default Shipping Address"
"Item ID","Item ID"
"Item Subtotal","Item Subtotal"
"Item Subtotal Including Tax","Item Subtotal Including Tax"
"Label","Label"
"Last Logged In","Last Logged In"
"Last Name","Last Name"
"Low Stock Date","Low Stock Date"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Maximum Qty Allowed in Shopping Cart"
"Minimum Qty Allowed in Shopping Cart","Minimum Qty Allowed in Shopping Cart"
"New Role","New Role"
"Notify for Quantity Below","Notify for Quantity Below"
"OAuth","OAuth"
"Order","Order"
"Order Addresses","Order Addresses"
"Order Comments","Order Comments"
"Order Currency","Order Currency"
"Order Date","Order Date"
"Ordered Qty","Ordered Qty"
"Order ID","Order ID"
"Order ID (internal)","Order ID (internal)"
"Order Item ID","Order Item ID"
"Order Items","Order Items"
"Orders","Orders"
"Order Status","Order Status"
"Original Price","Original Price"
"Parent Order Item ID","Parent Order Item ID"
"Payment Method","Payment Method"
"Phone Number","Phone Number"
"Placed from IP","Placed from IP"
"Please enter a valid number in ""max_sale_qty"" field","Please enter a valid number in ""max_sale_qty"" field"
"Please enter a valid number in ""min_qty"" field","Please enter a valid number in ""min_qty"" field"
"Please enter a valid number in ""min_sale_qty"" field","Please enter a valid number in ""min_sale_qty"" field"
"Please enter a valid number in ""notify_stock_qty"" field","Please enter a valid number in ""notify_stock_qty"" field"
"Please use numbers only in ""category_id"" field.","Please use numbers only in ""category_id"" field."
"Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas.","Please use numbers only in ""qty_increments"" field. Please avoid spaces or other characters such as dots or commas."
"Position","Position"
